Code,Name,Description
CITZPOP,"Population On Which Counts Of Citizenship Are Based (Custody, Custody+Privates, Jurisdiction) (2021-Current)",On what total population is your count of citizens and non-citizens based?
CITZTOT,Total U.S. Citizens In Custody As Well As Those In Private Prison Facilities (2019-Current),"On December 31, how many inmates in your custody, plus those held in private prisons, were -- U.S. Citizens"
CITZTOTF,"Total U.S. Citizens In Custody As Well As Those In Private Prison Facilities, Female (2019-Current)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- d. Total - Female"
CITZTOTM,"Total U.S. Citizens In Custody As Well As Those In Private Prison Facilities, Male (2019-Current)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- d. Total - Male"
CITZUNSF,"Unsentenced U.S. Citizens In Custody As Well As Those In Private Prison Facilities, Female (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- c. Were unsentenced - Female"
CITZUNSM,"Unsentenced U.S. Citizens In Custody As Well As Those In Private Prison Facilities, Male (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- c. Were unsentenced - Male"
CNOPRIVF,"Custody, No Private Facilities, Female (1999-Current)",
CNOPRIVM,"Custody, No Private Facilities, Male (1999-Current)",
COMMITF,"New Court Commitments, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- a. New court commitments (Include probation violators entering prison on probated sentence, split sentences, and shock probation) - Female"
COMMITM,"New Court Commitments, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- a. New court commitments (Include probation violators entering prison on probated sentence, split sentences, and shock probation) - Male"
CONSTYPE,"Composite Variable For Responses To Gencons, Hivcons, And Nocons (2011-Current)","On December 31, which of the following best described consent for HIV testing among inmates entering your facility? (Check only one)."
CUSCTZNF,"In Custody Not U.S. Citizens, Female (1998-2016)","On December 31, how many inmates in your custody, plus those held in private prisons were not citizens of the United States? - Female"
CUSCTZNM,"In Custody Not U.S. Citizens, Male (1998-2016)","On December 31, how many inmates in your custody, plus those held in private prisons, were not citizens of the United States? - Male"
CUSGT1F,"Custody With Maximum Sentence Greater Than 1 Year, Females (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. a. Had a total maximum sentence of more than 1 year (Include inmates with consecutive sentences that add to more than 1 year) - Female"
CUSGT1M,"Custody With Maximum Sentence Greater Than 1 Year, Males (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. a. Had a total maximum sentence of more than 1 year (Include inmates with consecutive sentences that add to more than 1 year) - Male"
CUSGT1T,"Custody With Maximum Sentence Greater Than 1 Year, Total (1978-1982)",Custody population December 31. a. Inmates with maximum sentence greater than 1 year.
CUSLT18F,"In Custody Under 18 Years Of Age, Female (2000-Current)","On December 31, how many inmates in your custody, plus those held in private prisons, were under age 18? - Female"
CUSLT18M,"In Custody Under 18 Years Of Age, Male (2000-Current)","On December 31, how many inmates in your custody, plus those held in private prisons, were under age 18? - Male"
CUSLT1F,"Custody With Maximum Sentence 1 Year Or Less, Females (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. b. Had a total maximum sentence of 1 year or less - Female"
CUSLT1M,"Custody With Maximum Sentence 1 Year Or Less, Males (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. b. Had a total maximum sentence of 1 year or less - Male"
CUSLT1T,"Custody With Maximum Sentence 1 Year Or Less, Total (1978-1982)",Custody population December 31. b. Inmates with maximum sentence less than 1 year.
CUSTOTF,"Total Under Custody, Females (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. d. TOTAL - Female"
CUSTOTM,"Total Under Custody, Males (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. d. TOTAL - Male"
CUSTOTT,"Total Under Custody, Total (1978-1982)","Custody population December 31. d. Total inmates population (Sum of lines a, b and c)."
CUSUNSF,"Custody Unsentenced, Females (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. c. Were unsentenced - Female"
CUSUNSM,"Custody Unsentenced, Males (1983-Current)","On December 31, how many inmates under your custody -- Exclude inmates held in local jails, private facilities and facilities in other jurisdictions. Include inmates held in any public facility run by your state, including halfway houses, camps, farms, training/treatment centers, and hospitals. c. Were unsentenced - Male"
CUSUNST,"Custody Unsentenced, Total (1978-1982)",Custody population December 31. c. Unsentenced inmates.
CWPRIVF,"Custody, With Private Facilities, Female (1999-Current)",
CWPRIVM,"Custody, With Private Facilities, Male (1999-Current)",
DTHACCF,"Deaths From Accidental Injury To Self, Female (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Accidental injury to self (Include all inmates who accidentally caused their own death (e.g., falls, mishandling of equipment, and choking on food) - Female"
DTHACCM,"Deaths From Accidental Injury To Self, Male (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Accidental injury to self (Include all inmates who accidentally caused their own death (e.g., falls, mishandling of equipment, and choking on food) - Male"
DTHAIDSF,"Deaths From Aids, Female (1991-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Acquired Immune Deficiency Syndrome (AIDS) (Include deaths due to Pneumocystis Carinii Pneumonia, Kaposi's Sarcoma, or other AIDS related diseases) - Female"
DTHAIDSM,"Deaths From Aids, Male (1991-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Acquired Immune Deficiency Syndrome (AIDS) (Include deaths due to Pneumocystis Carinii Pneumonia, Kaposi's Sarcoma, or other AIDS related diseases) - Male"
DTHEXECF,"Deaths From Execution, Female (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Execution - Female"
DTHEXECM,"Deaths From Execution, Male (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Execution - Male"
DTHHOMIF,"Deaths From Homicide By Other Inmates, Female (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Homicide committed by other inmates - Female"
DTHHOMIM,"Deaths From Homicide By Other Inmates, Male (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Homicide committed by other inmates - Male"
DTHHOMOF,"Deaths From Other Homicide, Female (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - g. Other homicide - Female"
DTHHOMOM,"Deaths From Other Homicide, Male (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - g. Other homicide - Male"
DTHILLNF,"Deaths From Illness Or Natural Cause, Female (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Illnesses/natural causes (Exclude AIDS related deaths) - Female"
DTHILLNM,"Deaths From Illness Or Natural Cause, Male (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Illnesses/natural causes (Exclude AIDS related deaths) - Male"
DTHOTHF,"Other Deaths, Female (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Other deaths - Specify in ""Notes"" - Female"
DTHOTHM,"Other Deaths, Male (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - Other deaths - Specify in ""Notes"" - Male"
DTHPERSF,"Deaths Caused By Another Person, Female (1978-1998)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - i. Death caused by another person - Female"
DTHPERSM,"Deaths Caused By Another Person, Male (1978-1998)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died as a result of - i. Death caused by another person - Male"
DTHSUICF,"Deaths From Suicide, Female (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December how many inmates under your jurisdiction died as a result of - Suicide - Female"
DTHSUICM,"Deaths From Suicide, Male (1978-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31 how many inmates under your jurisdiction died as a result of - Suicide - Male"
DTHTOTF,"Total Deaths, Female (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died - Total deaths - Female"
DTHTOTM,"Total Deaths, Male (1999-2006)","Include all inmates who died under your jurisdiction, regardless of where the death occurred. Include all sentenced and unsentenced inmates. Between January 1 and December 31, how many inmates under your jurisdiction died - Total deaths - Male"
FACINCLF,"Are Federal Or Other States' Facilities, Included In Jurisdiction Totals, Female (1991-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. - Female"
FACINCLM,"Are Federal Or Other States' Facilities, Included In Jurisdiction Totals, Male (1991-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. - Male"
FACROWDF,"Federal Or Other States' Facilities Solely To Ease Crowding, Female (1991-2000)",Provide a count of all inmates under the jurisdiction of your State who were housed in another State or in a Federal prison on December 31 specifically because there was no room for them in state correctional facilities. Enter the name of each state in which the inmates were housed and the number held in each state or by the Federal system - Female
FACROWDM,"Federal Or Other States' Facilities Solely To Ease Crowding, Male (1991-2000)",Provide a count of all inmates under the jurisdiction of your State who were housed in another State or in a Federal prison on December 31 specifically because there was no room for them in state correctional facilities. Enter the name of each state in which the inmates were housed and the number held in each state or by the Federal system - Male
FEDF,"Inmates Under Jurisdiction Housed In Federal Facilities, Female (1999-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. a. In Federal facilities - Female"
FEDM,"Inmates Under Jurisdiction Housed In Federal Facilities, Male (1999-Current)","On December 31, how many inmates under your jurisdiction were housed -- Exclude inmates housed in privately operated facilities and inmates housed in local jails. a. In Federal facilities - Male"
FLOADMF,"Admitted During Current Year, Sentence Gt 1 Year, Female (1978-Current)",How many inmates with a total maximum sentence of more than one year were - b. Admitted during this year- Female
FLOADMM,"Admitted During Current Year, Sentence Gt 1 Year, Male (1978-Current)",How many inmates with a total maximum sentence of more than one year were - b. Admitted during this year- Male
FLODECF,"Under Jurisdiction On December 31, [Current Year], Sentence Gt 1 Year, Female (1978-Current)",How many inmates with a total maximum sentence of more than one year were - d. Under your jurisdiction on December 31 - Female
FLODECM,"Under Jurisdiction On December 31, [Current Year], Sentence Gt 1 Year, Male (1978-Current)",How many inmates with a total maximum sentence of more than one year were - d. Under your jurisdiction on December 31 - Male
FLOJANF,"Under Jurisdiction On January 1, [Current Year], Sentence Gt 1 Year, Female [Or December 31 Of Prior Year] (1978-Current)",How many inmates with a total maximum sentence of more than one year were - a. Under your jurisdiction on January 1 - Female
FLOJANM,"Under Jurisdiction On January 1, [Current Year], Sentence Gt 1 Year, Male [Or December 31 Of Prior Year] (1978-Current)",How many inmates with a total maximum sentence of more than one year were - a. Under your jurisdiction on January 1 - Male
FLORLF,"Released During Current Year, Sentence Gt 1 Year, Female (1978-Current)",How many inmates with a total maximum sentence of more than one year were - c. Released during this year - Female
FLORLM,"Released During Current Year, Sentence Gt 1 Year, Male (1978-Current)",How many inmates with a total maximum sentence of more than one year were - c. Released during this year - Male
HANDLEF,"Total Inmates Handled, Jurisdiction Population Plus Admissions, Female (1978-1998)",
HANDLEM,"Total Inmates Handled, Jurisdiction Population Plus Admissions, Male (1978-1998)",
HISPF,Hispanic Or Latino Female (1978-Current),"On December 31, how many inmates under your jurisdiction were - c. Hispanic or Latino"
HISPM,Hispanic Or Latino Male (1978-Current),"On December 31, how many inmates under your jurisdiction were - c. Hispanic or Latino"
HIVASYMF,"Asymptomatic Hiv Positive, Female (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length a. Asymptomatic HIV positive (Inmates who were HIV positive but had no HIV-related symptoms) - Female"
HIVASYMM,"Asymptomatic Hiv Positive, Male (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length a. Asymptomatic HIV positive (Inmates who were HIV positive but had no HIV-related symptoms) - Male"
HIVASYMT,"Asymptomatic Hiv Positive, Total (1991-1998)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length a. Asymptomatic HIV positive (Inmates who were HIV positive but had no HIV-related symptoms) - Total"
HIVATOTF,"Total In Custody Hiv Positive Or With Aids, Female (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length d. TOTAL - Female"
HIVATOTM,"Total In Custody Hiv Positive Or With Aids, Male (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length d. TOTAL - Male"
HIVATOTT,"Total In Custody Hiv Positive Or With Aids, Total (1991-1998)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length d. TOTAL - Total"
HIVCERT,Tested Certain Inmates (1991-1998),
HIVCLIN,Tested Upon Clinical Indication Of Need Of Inmate In Custody? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Tested upon clinical indication"
HIVCUR,Tested All Inmates Currently In Custody? (1991-2010),Were any inmates under your custody tested for the antibody to the Human Immunodeficiency Virus (HIV) that causes AIDS? b. Under what circumstances were inmates tested? (2) All inmates currently in custody
HIVCUSME,Offered Hiv Test To Inmates In Custody During Routine Medical Examinations (2011-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Offered HIV test during routine medical examinations"
HIVEXTST,"Composite Variable For Responses To Rlhivsom, Rlhivreq, Rlhivoth, Rlhivno (2011-Current)","On December 31, which of the following best described HIV testing among inmates during discharge planning? (Check only one). Include all testing done upon exit or during the discharge process. Exclude all testing done upon entry or among inmates already in custody."
HIVHIGH,Tested High Risk Groups In Custody? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Tested inmates in high-risk groups"
HIVINC,Tested All Incoming Inmates? (1991-2010),Were any inmates under your custody tested for the antibody to the Human Immunodeficiency Virus (HIV) that causes AIDS? b. Under what circumstances were inmates tested? (1) All incoming inmates
HIVINCID,Tested Upon Involvement In Incident Of Inmate In Custody? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Tested following involvement in an incident"
HIVLESSF,"Infected With Lesser Forms Of Symptomatic Hiv Disease, (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length b. Infected with lesser forms of symptomatic HIV disease (Inmates who had symptoms of HIV infection but without a confirmed AIDS diagnosis) - Female"
HIVLESSM,"Infected With Lesser Forms Of Symptomatic Hiv Disease, Male (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length b. Infected with lesser forms of symptomatic HIV disease (Inmates who had symptoms of HIV infection but without a confirmed AIDS diagnosis) - Male"
HIVLESST,"Infected With Lesser Forms Of Symptomatic Hiv Disease, Total (1991-1998)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length b. Inmates with lesser forms of symptomatic HIV disease - Total"
HIVNOCUS,Did Not Provide Hiv Testing For Inmates In Custody (2011-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Did not provide HIV testing"
HIVORD,Tested Upon Court Order Of Inmate In Custody? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Tested upon court order"
HIVOTH,Tested Inmates In Custody Under Other Circumstances? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Other (Please specify)"
HIVRAN,Tested Random Samples While In Custody? (1991-2010),Were any inmates under your custody tested for the antibody to the Human Immunodeficiency Virus (HIV) that causes AIDS? b. Under what circumstances were inmates tested? (4) Random samples of inmates while in custody
HIVREL,Tested All Inmates At Time Of Release? (1991-Current),"On December 31, which of the following best described HIV testing among inmates during discharge planning? (Check only one). Include all testing done upon exit or during the discharge process. Exclude all testing done upon entry or among inmates already in custody."
HIVREQ,Tested Upon Inmate Request While In Custody? (1991-Current),"On December 31, which of the following described HIV testing among inmates already in custody? (Check all that apply). Exclude all testing done during the entry and discharge process. Tested upon request from the inmate"
HIVTEST,Tested Inmates In Custody For Hiv Antibody? (1991-2010),Were any inmates under your custody tested for the antibody to the Human Immunodeficiency Virus (HIV) that causes AIDS? a. 1 Yes 2 No
JURGT1F,"Jurisdiction With Maximum Sentence Greater Than 1 Year, Females (1978-Current)","On December 31, how many inmates under your jurisdiction -- a. Had a total maximum sentence of more than 1 year (Include inmates with consecutive sentences that add to more than 1 year) - Female"
JURGT1M,"Jurisdiction With Maximum Sentence Greater Than 1 Year, Males (1978-Current)","On December 31, how many inmates under your jurisdiction -- a. Had a total maximum sentence of more than 1 year (Include inmates with consecutive sentences that add to more than 1 year) - Male"
